,angle
235,2.876199960708618
5192,0.006908934097737
905,-2.290235757827759
7813,1.825157880783081
2895,-3.1182608604431152
5056,-2.512294292449951
144,-2.5740456581115723
4225,0.6743962168693542
7751,3.0663442611694336
3462,-0.4938521087169647
5396,-1.9246972799301147
5374,-1.3212414979934692
2962,-1.763003706932068
2516,0.0455182380974292
8444,-0.3292056322097778
3562,0.721747636795044
4764,-0.0306385736912488
8093,-0.3064850866794586
6542,0.0039877649396657
562,-2.5439393520355225
8151,-2.499562263488769
3049,2.4312148094177246
753,1.435225009918213
1888,-0.0375344194471836
1110,0.0229817200452089
6285,-0.0376418232917785
6121,2.009716749191284
1031,-1.0647209882736206
4415,0.2124570459127426
2877,-2.8634939193725586
3606,-1.3322499990463257
2561,-2.597616195678711
8920,-2.397250175476074
6771,-0.1101966947317123
431,-2.3843464851379395
4074,2.019894361495972
542,-1.8338689804077148
1478,-2.7420341968536377
1337,2.3151776790618896
7108,2.0198657512664795
8689,-1.3652297258377075
1612,-0.6293221712112427
3098,0.1155086159706115
1844,2.34212064743042
2669,-0.0551724098622798
15,1.6474982500076294
2244,-0.1693228632211685
7906,1.207401990890503
1306,2.3966007232666016
1046,0.1115045472979545
3047,2.660685777664185
1150,1.3931504487991333
3428,2.5041067600250244
155,2.9260990619659424
4409,-0.0065836356952786
648,0.3157447576522827
7586,2.5453150272369385
1679,-2.1251108646392822
7255,-1.005202293395996
7961,-0.3740954101085663
4039,-2.5288732051849365
243,-0.1110696643590927
1372,-2.74695348739624
1214,0.9840916991233826
7470,-0.0752842798829078
5024,-0.975546419620514
5848,-2.6712586879730225
5271,-3.0392613410949707
4791,-1.6242823600769043
2944,-0.0712729319930076
5373,-1.0968512296676636
461,-0.0350558273494243
1798,-2.6280264854431152
4565,2.649965047836304
1478,-2.7420341968536377
4059,-1.567021369934082
715,0.4387801587581634
6407,2.930485725402832
6221,-1.7839863300323486
2760,0.0065507092513144
5195,-0.283915102481842
7500,0.0845195427536964
1067,-2.316291093826294
7710,-0.1540759354829788
3885,-1.4067399501800537
6713,-0.8008778691291809
7676,-0.1540759354829788
96,0.7622081637382507
269,-1.9843348264694212
6423,-0.9612550139427184
889,0.1179320961236953
152,-2.11880111694336
3212,-2.4157538414001465
8798,2.2774863243103027
7740,-0.1540759354829788
489,-0.0630646646022796
152,-2.11880111694336
3410,0.0292958132922649
4979,-0.0444330759346485
2178,-0.8591709733009338
7862,-0.1309664696455001
5984,-2.010347366333008
2518,-0.0221794936805963
3270,-2.3820183277130127
8519,-0.0182728767395019
7183,0.4072147607803345
20,-0.3923854827880859
6774,2.313562154769897
1968,1.5518372058868408
6422,-0.9480531215667723
6629,0.8645822405815125
3981,1.2419085502624512
2033,-2.2388713359832764
609,2.839051485061645
5813,0.3530156910419464
1876,-1.8790072202682493
3082,-2.0456860065460205
7264,-1.4678072929382324
183,-0.9562681317329408
6461,-1.6765849590301514
3640,-1.68751060962677
7897,1.207401990890503
8597,-2.511500835418701
3303,2.3670196533203125
7264,-1.4678072929382324
505,1.1488064527511597
8147,-0.3064850866794586
5145,-1.2422921657562256
5617,2.3159396648406982
5006,1.0976283550262451
2189,-0.0427742712199687
7796,2.248487710952759
9003,0.1655495911836624
3718,-1.68751060962677
1741,-1.7726309299468994
696,2.8219454288482666
1979,-0.7702831625938416
5656,-1.5911167860031128
8642,2.509244441986084
7493,-0.0752842798829078
2468,2.6048595905303955
869,-0.0921501070261001
2808,-1.733730435371399
6165,-0.8799979090690613
2267,2.409672975540161
2737,3.023780584335327
5423,-3.045367956161499
1485,-2.430267572402954
5582,-0.4101535081863403
5677,-2.1387927532196045
4752,1.1242694854736328
5354,-1.768072247505188
4547,-0.3283230066299438
9076,-2.899869918823242
4509,2.379446506500244
843,-1.8486366271972656
5588,-2.165056705474853
5168,-0.0196929425001144
7456,-1.2196804285049438
8445,-0.0788106098771095
668,-0.0024962490424513
1311,-0.4740339815616607
1052,2.2390246391296387
7498,0.2104170769453048
109,-0.7313376665115356
5731,-1.8155361413955688
5716,-0.0691505968570709
591,-1.6953078508377075
7337,-2.4074480533599854
832,-0.0211813803762197
7788,2.2371177673339844
5331,-0.2796039581298828
6932,-0.0658780708909034
2092,-0.0545236691832542
1694,-0.4705122411251068
8667,1.1646026372909546
7955,2.7108657360076904
5371,-1.116359829902649
8583,-2.0166900157928467
1455,0.0308708045631647
878,-2.9569547176361084
3827,-1.4067399501800537
4196,0.1267609447240829
6035,2.275054693222046
2499,2.371288776397705
5726,-1.65294349193573
7399,-0.0168888214975595
1834,-1.2057331800460815
6976,-0.0193495694547891
3572,-2.224733591079712
6350,2.4244205951690674
8337,-0.3292056322097778
1191,-0.95155131816864
1187,-0.9554394483566284
4561,2.5925841331481934
5788,-1.6948535442352295
5782,-1.5544801950454712
6602,-0.5907702445983887
5785,0.0760268419981002
3302,2.382002592086792
2288,-0.035036064684391
690,-2.306107997894287
6078,-0.9442593455314636
8809,-0.8949962258338928
7424,2.3164830207824707
1527,-2.340930223464966
2832,-1.7907551527023315
4720,0.636846661567688
5171,-0.0355278514325618
4975,-0.0487950444221496
2171,-0.069735899567604
4420,-0.0660732686519622
7871,-0.1309664696455001
3605,1.675386905670166
3452,-0.4258941113948822
5251,-0.918289840221405
6727,-2.0816354751586914
4813,-1.6242823600769043
143,-2.1948118209838867
4601,-0.0329572297632694
3002,-2.1542809009552
7125,1.940641522407532
8818,-3.106383800506592
5870,-1.542648196220398
6045,1.3222237825393677
1580,-2.8734710216522217
8342,2.0114994049072266
2486,2.3397557735443115
7500,0.0845195427536964
4472,-2.142390727996826
8090,-0.902620255947113
1996,-1.778886795043945
7111,2.286707162857056
4823,-0.0153928846120834
8615,-2.52641224861145
8829,-1.891716480255127
3115,-0.2247463166713714
5580,2.696818351745605
4978,-0.0455708391964435
8998,0.0599264651536941
624,0.5927202701568604
9029,-2.6761505603790283
5858,-2.61475682258606
2219,2.495415687561035
7753,0.8342382311820984
5428,-1.9246972799301147
601,-1.9725152254104612
4635,2.703284978866577
2091,1.271196365356445
7295,-0.0340195074677467
8798,2.2774863243103027
4064,2.053959608078003
8602,2.389285087585449
8020,0.877121090888977
8734,2.969649076461792
1088,2.322216510772705
1174,-0.2827496826648712
2658,-0.936199188232422
7988,0.1841708570718765
8262,-0.3064850866794586
8844,-0.1477961540222168
7463,2.94204330444336
2278,-1.7012648582458496
7919,1.207401990890503
1200,2.838350296020508
317,-2.2509844303131104
2502,2.214109182357788
2829,-1.876014351844788
3236,-0.9388617277145386
7802,-0.1540759354829788
4345,-0.2219034880399704
7519,-0.0008788428385742
8757,-2.375690460205078
2953,2.9268455505371094
6825,2.37549376487732
6509,-3.139799118041992
2806,-1.733730435371399
4946,-2.727196216583252
105,-2.5437204837799072
4132,-2.1034247875213623
7280,-0.8830600380897522
5278,2.0586092472076416
6356,2.3645966053009038
8121,-0.3064850866794586
8995,1.927561640739441
4433,-0.8982770442962646
8405,-0.3292056322097778
4944,-0.0908595398068428
2843,-2.4279332160949707
6472,2.739241600036621
6684,0.0577432624995708
1763,0.0337674058973789
6541,-0.9162632822990416
6884,0.4123727679252624
5138,-0.0273986309766769
4321,0.9823689460754396
7078,2.409404993057251
8511,-2.558720111846924
2547,-2.4868979454040527
1582,0.1380242258310318
7528,0.0443413294851779
5095,-2.2700443267822266
4208,3.042353630065918
2559,-2.862213611602783
8907,-1.670596480369568
7610,-0.9831480383872986
4890,-0.075417548418045
7061,-1.208093762397766
1594,-0.0267086960375309
6108,-0.8518267273902893
3621,-1.3322499990463257
7145,1.7398890256881714
5354,-1.768072247505188
1803,0.0895356237888336
6038,0.1325986683368683
2566,1.9999356269836424
3726,-1.68751060962677
2148,-0.0853331983089447
4439,2.501736640930176
2251,0.1318124830722808
379,0.0230115707963705
2592,1.033663272857666
7790,-0.1540759354829788
6833,2.941087484359741
6010,2.8958282470703125
6272,-0.0169737134128808
3734,-1.5416144132614136
5217,-0.3762837946414947
7058,1.4257675409317017
2843,-2.4279332160949707
4830,-1.6242823600769043
818,1.073804259300232
814,1.2161383628845217
519,-1.7265784740447998
1693,-1.963446855545044
9099,-0.414377212524414
5565,-2.114572525024414
8187,2.799366950988769
9210,1.94242000579834
5256,-1.2134511470794678
944,-0.0683670192956924
6594,-2.912683486938477
732,1.0396244525909424
8896,-2.459927082061768
2791,2.1325795650482178
4753,-0.0128997210413217
8609,-2.730202436447144
7196,-2.361092567443848
7045,1.9750666618347168
7033,-2.667215347290039
42,1.7838510274887085
8116,2.3185949325561523
312,-0.0486590079963207
6734,2.4119606018066406
8023,-0.3018594086170196
8186,1.982577919960022
373,-2.638315200805664
721,1.9910355806350708
7880,-3.1325278282165527
5936,-2.378441572189331
6645,-0.3495921194553375
5516,-1.4216148853302002
8345,-0.3292056322097778
8525,-0.0182728767395019
5380,-1.9860146045684812
4056,-1.567021369934082
9078,-2.1853184700012207
4763,-2.372187852859497
2994,0.00265420274809
2884,2.7006216049194336
1722,1.3809539079666138
1888,-0.0375344194471836
4602,-0.056573037058115
5004,-0.9771539568901062
2962,-1.763003706932068
1182,-0.2680538594722748
3717,-2.0172643661499023
8336,-0.3292056322097778
1887,0.0337038151919841
9148,1.2861629724502563
3820,-1.4067399501800537
5867,-0.0066399429924786
5967,2.660951375961304
9107,-2.684176206588745
8013,-0.3018594086170196
2599,2.1195263862609863
2172,-2.6682021617889404
4138,-1.9081672430038448
3918,2.841817617416382
3110,0.0680206343531608
8570,-2.917062759399414
